n,fibers,iters,ok_iters,parse_ms_median,check_ms_median,lower_ms_median,total_ms_median,parse_ms_min,check_ms_min,lower_ms_min,total_ms_min
100,102,3,3,110.093,98.163,220.352,416.257,87.547,94.822,131.559,336.474
1000,1002,3,3,262.849,260.815,651.338,1175.002,260.759,259.689,579.649,1108.850
10000,10002,3,3,2307.903,2193.582,6961.012,11429.095,2284.207,2183.876,5907.356,10408.842
30000,30002,3,3,7408.281,6842.294,20599.596,34811.574,7383.907,6800.354,18747.607,32998.181
100000,100002,3,3,24972.639,23615.631,70294.726,118882.996,24803.475,23481.443,64978.387,113263.305
